asset,asset_class,H_target,class_reference,kappa,estimator,H_hat,bias,r_squared,n_obs,invalid_day_fraction
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,bpv,0.12455489817855317,0.007739787303646842,0.8676412221474369,1000,0.0
single_stock_01,single_stock,0.11681511087490633,0.131,0.01,ctrv,0.1241444262311843,0.007329315356277968,0.8747121293550306,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,rv5m,0.16007871400390514,0.02977211810454869,0.8535463353377315,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,rk,0.16430907328947442,0.03400247739011797,0.8713584652516595,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,tsrv,0.1628656822583428,0.032559086358986356,0.8543565339534087,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,pav,0.1505634354384762,0.020256839539119748,0.8114977217050316,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,pabpv,0.15097298950717578,0.020666393607819328,0.8623735810778411,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,bpv,0.1627276828758987,0.03242108697654225,0.8789833012244038,1000,0.0
single_stock_02,single_stock,0.13030659589935645,0.131,0.01,ctrv,0.1655063615107753,0.035199765611418854,0.8853834665945765,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,rv5m,0.14839716886659693,-0.041385005905988564,0.8362223501846159,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,rk,0.16106098328662607,-0.02872119148595942,0.8763605725069475,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,tsrv,0.15244294152213314,-0.03733923325045235,0.8508856591626055,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,pav,0.13772677554982565,-0.05205539922275984,0.7667267945011331,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,pabpv,0.13757365940427138,-0.05220851536831411,0.790563246505442,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,bpv,0.16735632877088835,-0.02242584600169714,0.8950886245661095,1000,0.0
equity_index_01,equity_index,0.1897821747725855,0.195,0.01,ctrv,0.16759959913560052,-0.022182575636984975,0.8899327425037703,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,rv5m,0.20414455393931533,0.011499196770579284,0.9561751182415844,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,rk,0.22214176722978332,0.02949641006104728,0.970681136273945,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,tsrv,0.21693252212755992,0.02428716495882388,0.966875399095752,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,pav,0.2014731494433659,0.008827792274629848,0.9435096372927705,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,pabpv,0.19820032955539266,0.005554972386656615,0.936417882200556,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,bpv,0.21815904229095345,0.02551368512221741,0.9697370116948111,1000,0.0
equity_index_02,equity_index,0.19264535716873604,0.195,0.01,ctrv,0.2217259083563389,0.02908055118760286,0.966764434113931,1000,0.0
