H_latent,H_rv5m,H_tsrv,H_latent_lag40,H_rv5m_lag40,H_tsrv_lag40,H_corrected_rv5m,H_corrected_tsrv,H_corr_lag40_rv5m,H_corr_lag40_tsrv,omega_rv5m,omega_tsrv,convergence,varpi,path_id
0.168551,0.070903,0.055162,0.112021,0.054481,0.045080,0.072099,0.055878,0.055272,0.045600,0.029863,0.029863,converged,0.000500,3
0.226107,0.119092,0.099838,0.180589,0.110620,0.094963,0.120942,0.101044,0.111985,0.095885,0.027956,0.027956,converged,0.000500,4
0.228515,0.102110,0.081109,0.188407,0.092337,0.068899,0.103712,0.082114,0.093455,0.069526,0.027660,0.027660,converged,0.000500,5
0.207472,0.074155,0.051410,0.193909,0.090122,0.068386,0.075433,0.052116,0.091353,0.069140,0.028808,0.028808,converged,0.000500,6
0.181535,0.076218,0.057612,0.211188,0.112659,0.091917,4.994977,0.248140,3.420138,0.282372,0.217804,0.217804,converged,0.000500,7
0.156713,0.072964,0.059814,0.181301,0.097407,0.078984,0.074190,0.060602,0.098622,0.079738,0.027503,0.027503,converged,0.000500,8
0.205320,0.068549,0.041318,0.180856,0.099397,0.080931,0.069689,0.041846,0.100687,0.081790,0.028346,0.028346,converged,0.000500,9
0.175093,0.096774,0.081537,0.182107,0.107799,0.093083,0.098316,0.082558,0.109113,0.093985,0.027890,0.027890,converged,0.000500,10
0.162136,0.051029,0.030398,0.216097,0.114038,0.093014,0.051941,0.030823,0.115565,0.094012,0.029264,0.029264,converged,0.000500,11
0.181154,0.068538,0.048113,0.159246,0.081974,0.067443,0.069678,0.048732,0.083078,0.068172,0.029177,0.029177,converged,0.000500,12
0.216847,0.092157,0.064442,0.224878,0.124864,0.100747,0.093649,0.065270,0.126417,0.101776,0.028196,0.028196,converged,0.000500,13
0.199940,0.071432,0.054263,0.219050,0.117105,0.092402,0.072693,0.055008,0.118684,0.093415,0.028388,0.028388,converged,0.000500,14
0.203514,0.122752,0.112411,0.154935,0.064632,0.045477,0.124675,0.113764,0.065515,0.045955,0.028123,0.028123,converged,0.000500,15
0.201551,0.073177,0.051133,0.200025,0.116822,0.094987,0.073177,0.051133,0.116822,0.094987,0.000142,0.000142,converged,0.000500,16
0.149334,0.063763,0.050489,0.206309,0.115569,0.097706,0.063763,0.050489,0.115569,0.097706,0.000013,0.000013,converged,0.000500,17
0.176062,0.106029,0.093464,0.203669,0.132757,0.113903,6.685339,0.396609,2.922397,0.319965,0.220195,0.220195,converged,0.000500,18
0.153181,0.052903,0.040096,0.181386,0.068402,0.049607,0.053812,0.040636,0.069353,0.050160,0.027408,0.027408,converged,0.000500,19
0.201126,0.123247,0.105537,0.213409,0.113026,0.094843,0.125124,0.106805,0.114502,0.095852,0.027740,0.027740,converged,0.000500,20
0.194307,0.064850,0.050112,0.200800,0.089137,0.068839,0.065997,0.050809,0.090416,0.069639,0.028048,0.028048,converged,0.000500,21
0.174671,0.106565,0.090408,0.199292,0.097800,0.075532,4.714050,0.333253,2.808315,0.210231,0.213711,0.213711,converged,0.000500,22
0.188280,0.087689,0.072297,0.228851,0.123605,0.099946,0.089174,0.073267,0.125187,0.100990,0.028979,0.028979,converged,0.000500,23
0.250541,0.119669,0.097278,0.194123,0.114134,0.095111,0.121498,0.098438,0.115611,0.096098,0.028505,0.028505,converged,0.000500,24
0.207292,0.096265,0.079623,0.201451,0.116760,0.096155,0.096265,0.079623,0.116760,0.096155,0.000148,0.000148,converged,0.000500,25
0.170632,0.113614,0.101705,0.193912,0.098802,0.078598,0.115423,0.102969,0.100133,0.079444,0.028190,0.028190,converged,0.000500,26
0.201281,0.110805,0.093833,0.198487,0.081545,0.062655,3.962127,0.249058,1.277536,0.126069,0.192480,0.192480,converged,0.000500,27
0.199981,0.064845,0.041212,0.179487,0.073763,0.054286,3.787469,0.117218,1.280932,0.125539,0.190265,0.190265,converged,0.000500,28
0.144043,0.054509,0.039894,0.118516,0.051360,0.040221,0.054509,0.039894,0.051360,0.040221,0.000076,0.000076,converged,0.000500,29
0.212319,0.116384,0.106100,0.172591,0.098707,0.082965,0.118085,0.107317,0.099980,0.083826,0.027407,0.027407,converged,0.000500,30
0.176684,0.072202,0.056326,0.200653,0.109658,0.088728,0.072202,0.056326,0.109658,0.088728,0.000148,0.000148,converged,0.000500,31
0.192287,0.084590,0.061011,0.153982,0.082625,0.066546,0.085969,0.061803,0.083668,0.067191,0.029133,0.029133,converged,0.000500,32
0.220357,0.113609,0.090914,0.194686,0.109102,0.092114,0.115372,0.092039,0.110437,0.093015,0.029394,0.029394,converged,0.000500,33
0.175597,0.092411,0.070727,0.168395,0.083642,0.064010,0.093929,0.071631,0.084838,0.064716,0.027020,0.027020,converged,0.000500,34
0.212055,0.121132,0.103715,0.221979,0.132304,0.112171,0.121132,0.103715,0.132304,0.112171,0.000132,0.000132,converged,0.000500,35
0.206680,0.092747,0.071620,0.171534,0.095711,0.079379,0.092747,0.071620,0.095711,0.079379,0.000129,0.000129,converged,0.000500,36
0.203455,0.094756,0.073317,0.259393,0.149845,0.125086,0.096302,0.074273,0.151601,0.126310,0.028145,0.028145,converged,0.000500,37
0.198099,0.101997,0.085139,0.247280,0.153582,0.132535,0.103621,0.086189,0.155494,0.133879,0.029082,0.029082,converged,0.000500,38
0.186710,0.088536,0.072738,0.195584,0.110834,0.091994,0.090007,0.073691,0.112205,0.092903,0.028484,0.028484,converged,0.000500,39
0.198520,0.078505,0.059826,0.199105,0.125605,0.109875,0.079759,0.060565,0.127141,0.110974,0.028042,0.028042,converged,0.000500,40
0.206330,0.069989,0.056127,0.194683,0.109205,0.092596,0.071120,0.056834,0.110634,0.093566,0.028181,0.028181,converged,0.000500,41
0.209786,0.120437,0.102488,0.214480,0.127399,0.110418,0.122385,0.103804,0.129094,0.111611,0.028215,0.028215,converged,0.000500,42
0.197071,0.062327,0.042139,0.210871,0.090731,0.066837,0.063356,0.042670,0.091884,0.067505,0.027831,0.027831,converged,0.000500,43
0.201114,0.082943,0.066550,0.185575,0.096166,0.081047,0.084353,0.067436,0.097430,0.081896,0.028413,0.028413,converged,0.000500,44
0.166694,0.061488,0.049744,0.132368,0.074480,0.065233,0.061488,0.049744,0.074480,0.065233,0.000080,0.000080,converged,0.000500,45
0.178726,0.105009,0.085655,0.217982,0.115414,0.094340,0.105009,0.085656,0.115414,0.094340,0.000132,0.000132,converged,0.000500,46
0.184819,0.066208,0.047642,0.152274,0.070785,0.058886,0.067340,0.048282,0.071833,0.059582,0.028638,0.028638,converged,0.000500,47
0.229011,0.098075,0.071547,0.192083,0.090247,0.071693,0.099646,0.072470,0.091375,0.072424,0.027814,0.027814,converged,0.000500,48
0.163064,0.077713,0.062886,0.165711,0.092246,0.072600,0.079046,0.063723,0.093553,0.073420,0.028144,0.028144,converged,0.000500,49
0.157768,0.075409,0.065897,0.137082,0.064701,0.050538,0.076628,0.066713,0.065511,0.051014,0.027434,0.027434,converged,0.000500,50
0.219912,0.069564,0.046476,0.167659,0.075860,0.056887,0.070757,0.047105,0.076876,0.057465,0.027102,0.027102,converged,0.000500,51
0.146720,0.066106,0.054235,0.180910,0.100455,0.081319,0.067227,0.054954,0.101792,0.082180,0.028434,0.028434,converged,0.000500,52
0.184490,0.102510,0.091949,0.187523,0.109797,0.092552,0.104164,0.093091,0.111185,0.093457,0.028313,0.028313,converged,0.000500,53
0.222112,0.123246,0.109435,0.222934,0.105614,0.080495,0.125129,0.110742,0.106929,0.081312,0.028319,0.028319,converged,0.000500,54
0.206508,0.101245,0.083677,0.191173,0.092950,0.074440,0.102873,0.084720,0.094098,0.075141,0.028496,0.028496,converged,0.000500,55
0.208862,0.093581,0.074162,0.154115,0.070481,0.054763,0.093581,0.074162,0.070481,0.054763,0.000032,0.000032,converged,0.000500,56
0.168396,0.078809,0.063275,0.130709,0.063543,0.053098,0.080110,0.064083,0.064437,0.053685,0.027124,0.027124,converged,0.000500,57
0.181464,0.039659,0.022054,0.112824,0.041207,0.029804,0.039659,0.022054,0.041207,0.029804,0.000043,0.000043,converged,0.000500,58
0.193063,0.081836,0.067153,0.149509,0.101080,0.089444,0.083169,0.068003,0.102428,0.090406,0.027857,0.027857,converged,0.000500,59
0.215690,0.092428,0.070217,0.202179,0.112476,0.091576,0.092428,0.070217,0.112476,0.091576,0.000082,0.000082,converged,0.000500,60
0.214503,0.085541,0.068201,0.186196,0.083564,0.067055,0.086952,0.069079,0.084678,0.067758,0.028589,0.028589,converged,0.000500,61
0.218419,0.108669,0.090466,0.248652,0.140004,0.116737,0.110378,0.091590,0.141658,0.117871,0.029179,0.029179,converged,0.000500,62
0.208827,0.108204,0.094741,0.197942,0.092430,0.074392,0.108204,0.094741,0.092430,0.074392,0.000173,0.000173,converged,0.000500,63
0.248261,0.112298,0.088323,0.231116,0.132834,0.108679,0.114127,0.089479,0.134488,0.109798,0.028951,0.028951,converged,0.000500,64
0.201894,0.117376,0.094645,0.203418,0.116418,0.096477,0.119203,0.095809,0.117784,0.097372,0.028233,0.028233,converged,0.000500,65
0.190219,0.111586,0.092210,0.214769,0.125330,0.106356,0.113334,0.093346,0.126903,0.107428,0.028059,0.028059,converged,0.000500,66
0.201744,0.086926,0.066151,0.183907,0.109702,0.093106,0.088352,0.067003,0.111129,0.094089,0.028399,0.028399,converged,0.000500,67
0.194199,0.075109,0.051694,0.206992,0.109043,0.089481,0.076343,0.052354,0.110496,0.090459,0.028082,0.028082,converged,0.000500,68
0.217134,0.092910,0.067909,0.185828,0.100280,0.081909,0.094470,0.068809,0.101605,0.082773,0.028739,0.028739,converged,0.000500,69
0.215994,0.093567,0.073168,0.242438,0.155461,0.135429,0.095197,0.074178,0.157485,0.136873,0.028333,0.028333,converged,0.000500,70
0.192080,0.103849,0.084045,0.192060,0.113113,0.094623,0.103849,0.084045,0.113113,0.094624,0.000242,0.000242,converged,0.000500,71
0.211616,0.095891,0.074678,0.245693,0.117585,0.088926,0.095891,0.074679,0.117586,0.088927,0.000480,0.000480,converged,0.000500,72
